,,,,,,,,,
47,The average weight of 10 men is decreased by 2 kg when one of them whose weight is 60 kg is replaced by a new man. What is the weight of the new man?,easy,Maths,35 kg,40 kg, 45 kg, 50 kg,2,1
48,The average age of 30 boys in a class is 15 years. If we include the age of two teachers the average age increases by 1. Find the sum of ages of the two teachers.,easy,Maths,55 years,58 years,62 years,64 years,3,1
49,The average age of the committee of 10 members is 40 years. A member of age 52 retires and a new member of age 38 takes his place. What is the average age of the present committee?,easy,Maths,38.6 years,33.5 years, 35.5 years, 37.5 years,1,1
50,Four years ago the average age of A and B was 20 years. If today average age of A and B and C is 25 years. what will be age of C after 7 years?,hard,Maths,32 years,34 years,36 years, 38 years,2,1
51,She sings ________ beautifully that everyone enjoys her performances.,medium,English,so,too,such,very,1,1
52,I would like ________ a doctor someday.,medium,English,becoming,to become,become,becomes,2,1
53,We've known each other ________ we were children.,medium,English,since,for,from,during,1,1
54,The package arrived ________ the expected delivery date.,medium,English,on,in,at,before,4,1
55,He went to the store ________ buy some groceries.,medium,English,to,too,two,2,1,1
56,The cat is hiding ________ the bed.,easy,English,in,on,under,between,3,1
57,________ of my friends are coming to the party.,easy,English,Many,Much,More,Most,1,1
58,I can't believe ________ my keys at home.,easy,English,I forget,I forgot,I have forgotten,I've forget,2,1
59,He is the ________ of the two brothers.,hard,English,younger,more young,young,youngest,1,1
60,The cake tasted ________ sweet that I couldn't finish it.,hard,English,so,such,very,too,4,1
